id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto74,coddpto,departamento74,departamento,codmpio74,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
719740004,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,18480001,5,,,PARTIDO LIBERAL COLOMBIANO,229,1
719740004,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,18490002,6,,,PARTIDO CONSERVADOR COLOMBIANO,566,1
719740004,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,,998,VOTOS NULOS,,,2,0
719740004,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740005,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,1914,1
719740005,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,1087,1
719740005,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,274,1
719740005,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,96,1
719740005,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,19720002,5,,,SDC,0,0
719740005,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740005,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,,998,VOTOS NULOS,,,0,0
719740005,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740006,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,1752,1
719740006,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,986,1
719740006,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,257,1
719740006,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,50,1
719740006,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,19720002,5,,,SDC,0,0
719740006,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740006,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,,998,VOTOS NULOS,,,5,0
719740006,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740007,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,4189,1
719740007,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,2951,1
719740007,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,397,1
719740007,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,0,1
719740007,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,19720002,5,,,SDC,0,0
719740007,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740007,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,,998,VOTOS NULOS,,,12,0
719740007,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740008,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,707,1
719740008,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,305,1
719740008,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,87,1
719740008,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,0,1
719740008,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,19720002,5,,,SDC,0,0
719740008,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740008,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,,998,VOTOS NULOS,,,1,0
719740008,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740009,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Municipal,19720001,1,,,UNION NACIONAL DE OPOSICION UNO,0,1
719740009,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Municipal,19720002,2,,,SDC,0,0
719740009,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Municipal,19749999,3,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740009,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Municipal,19610001,4,,,ALIANZA NAL POPULAR ANAPO,85,1
719740009,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Municipal,18480001,5,,,PARTIDO LIBERAL COLOMBIANO,202,1
719740009,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Municipal,18490002,6,,,PARTIDO CONSERVADOR COLOMBIANO,1831,1
719740009,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Municipal,,998,VOTOS NULOS,,,2,0
719740009,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740010,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,891,1
719740010,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,751,1
719740010,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,62,1
719740010,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,0,1
719740010,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Municipal,19720002,5,,,SDC,0,0
719740010,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Municipal,19749999,6,,,OTROS PARTIDO O MOVIMIENTOS,0,1
719740010,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Municipal,,998,VOTOS NULOS,,,2,0
719740010,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Municipal,,999,VOTOS EN BLANCO,,,0,0
719740011,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,SANTAFE DE ANTIOQUIA,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,2172,1
719740011,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,SANTAFE DE ANTIOQUIA,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,686,1
719740011,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,SANTAFE DE ANTIOQUIA,Municipal,19610001,3,,,ALIANZA NAL POPULAR ANAPO,396,1
719740011,1974,Concejo Municipal,Abril 21,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,SANTAFE DE ANTIOQUIA,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,11,1
