id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto78,coddpto,departamento78,departamento,codmpio78,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
719780001,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,58969,
719780001,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,48691,
719780001,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,3169,
719780001,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19750001,3,,,PARTIDO FRENTE UNIDAD PUEBLO,2491,
719780001,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19789999,5,,,OTROS PARTIDOS O MOVIMIENTOS,5464,
719780001,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,,998,VOTOS NULOS,,,112,
719780001,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,,999,VOTOS EN BLANCO,,,73,
719780002,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,1696,
719780002,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,18490002,2,,,PARTIDO CONSERVADOR COLOMBIANO,2293,
719780002,1978,Concejo Municipal,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,19720001,4,,,UNION NACIONAL DE OPOSICION UNO,0,
