id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto70,coddpto,departamento70,departamento,codmpio70,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules,index,municipio_old
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,,998,,VOTOS NULOS,,,80,0,26,MEDELLIN
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,,999,,VOTOS EN BLANCO,,,700,0,27,MEDELLIN
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,964,0,30,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,1,1,AGUDELO,VILLA,HERNANDO,0,1,28,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,1,2,FERNANDEZ,SANTAMARIA,JORGE,0,1,29,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,350,0,33,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,2,1,ECHEVERRI,MEJIA,HERNANDO,0,1,31,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,2,2,ELEJALDE,TORO,BERNARDO,0,1,32,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,3,,,,PARTIDO LIBERAL COLOMBIANO,176,0,35,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,3,1,RESTREPO,ARBELAEZ,CARLOS,0,1,34,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,4,1,ESTRADA,V,FEDERICO,0,0,36,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,4,,,,PARTIDO LIBERAL COLOMBIANO,0,0,37,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,5,1,LENIS,C,PEDRO,0,0,38,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,5,,,,PARTIDO LIBERAL COLOMBIANO,7,0,39,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,6,1,RINCON,N,OSCAR,0,0,40,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,6,,,,PARTIDO LIBERAL COLOMBIANO,0,0,41,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,1,1,VALDERRAMA,AGUDELO,J EMILIO,0,0,42,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,1641,0,44,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,1,2,OPSINA,HERNANDEZ,MARIANO,0,1,43,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,2,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0,46,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,2,1,GIRALDO,,ENRIQUE,0,1,45,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,3,,,,PARTIDO CONSERVADOR COLOMBIANO,412,0,49,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,3,1,PIEDRAHITA,CARDONA,JAIME,0,1,47,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,3,2,RAMIREZ,AGUDELO,LIBARDO,0,1,48,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,4,,,,PARTIDO CONSERVADOR COLOMBIANO,494,0,51,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,4,1,RESTREPO,LONDONO,JUAN GONZALO,0,1,50,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,5,1,SIERRA,L,DARIO,0,0,52,ABEJORRAL
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,5,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0,53,ABEJORRAL
