id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto58,coddpto,departamento58,departamento,codmpio58,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,67996,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,1,JARAMILLO,CASTRO,ALBERTO,0,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,9639,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,1,1,GOMEZ,CASTRO,LAUREANO,0,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,2,,,,PARTIDO CONSERVADOR COLOMBIANO,26186,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,2,1,VALENCIA,MUNOZ,GUILLERMO LEON,0,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,3,,,,PARTIDO CONSERVADOR COLOMBIANO,1040,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,3,1,ARIAS,,JESUS MARIA,0,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,,998,,VOTOS NULOS,,,0,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,,999,,VOTOS EN BLANCO,,,0,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,1365,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18480001,1,1,JARAMILLO,CASTRO,ALBERTO,0,
219580001,1958,Senado,Marzo 16,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,798,
