id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto78,coddpto,departamento78,departamento,codmpio78,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,16407,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,1,GUERRA,SERNA,BERNARDO,0,1
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,2,GAVIRIA,ECHEVERRI,GUILLERMO,0,1
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,1,3,CARDENAS,JARAMILLO,VICTOR,0,1
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,32374,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,2,1,VALENCIA,JARAMILLO,JORGE,0,1
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,2,2,POSADA,VELEZ,ESTANISLAO,0,1
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,3,,,,PARTIDO LIBERAL COLOMBIANO,6233,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,3,1,JARAMILLO,GOMEZ,WILLIAM,0,1
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,4,,,,PARTIDO LIBERAL COLOMBIANO,4290,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,4,1,ESTRADA,VELEZ,FEDERICO,0,1
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,5,1,GUTIERREZ,CARDENAS,MARIO,0,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,5,,,,PARTIDO LIBERAL COLOMBIANO,1179,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,6,1,CANO,GIL,RUBEN DARIO,0,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18480001,6,,,,PARTIDO LIBERAL COLOMBIANO,132,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,20443,0
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,1,1,OSPINA,HERNANDEZ,MARIANO,0,1
219780001,1978,Senado,Febrero 26,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Departamental,18490002,1,2,URIBE,ECHAVARRIA,RODRIGO,0,1
