id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto76,coddpto,departamento76,departamento,codmpio76,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
719760001,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,43499,
719760001,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,18490002,1,,,PARTIDO CONSERVADOR COLOMBIANO,36994,
719760001,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19610001,1,,,ALIANZA NAL POPULAR ANAPO,4027,
719760001,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19700002,1,,,MOVIMIENTO OBRINDEP REVOL MOIR,1641,
719760001,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19720001,1,,,UNION NACIONAL DE OPOSICION UNO,3231,
719760001,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,19769999,1,,,OTROS PARTIDO O MOVIMIENTOS,1363,
719760001,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,,998,VOTOS NULOS,,,135,
719760001,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Municipal,,999,VOTOS EN BLANCO,,,207,
719760002,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,18480001,1,,,PARTIDO LIBERAL COLOMBIANO,1382,
719760002,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,18490002,1,,,PARTIDO CONSERVADOR COLOMBIANO,2049,
719760002,1976,Concejo municipal,Abril 18,5,5,ANTIOQUIA,ANTIOQUIA,5002,5002,ABEJORRAL,Municipal,19610001,1,,,ALIANZA NAL POPULAR ANAPO,145,
