id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto82,coddpto,departamento82,departamento,codmpio82,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,40668,0
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,1,1,GUERRA,SERNA,BERNARDO,0,1
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,1,2,CARDENAS,JARAMILLO,VICTOR MANUEL,0,1
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,1,3,MAYA,MAYA,MARIA VICTORIA,0,1
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,1,4,VALENCIA,JARAMILLO,JORGE ENRIQUE,0,1
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,5856,0
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,2,1,ESTRADA,VELEZ,FEDERICO,0,1
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,2,2,JARAMILLO,GOMEZ,JOAQUIN G WILLIAM,0,1
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,3,1,JARAMILLO,GOMEZ,WILLIAM,0,0
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,3,,,,PARTIDO LIBERAL COLOMBIANO,7188,0
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,4,1,MARULANDA,GOMEZ,IVAN,0,0
219820001,1982,Senado,Marzo 14,5,5,ANTIOQUIA,ANTIOQUIA,5001,5001,MEDELLIN,Nacional,18480001,4,,,,PARTIDO LIBERAL COLOMBIANO,15141,0
