ano,url,nivel
1976,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1976_concejo.dta.csv,Concejo
1978,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1978_concejo.dta.csv,Concejo
1980,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1980_concejo.dta.csv,Concejo
1982,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1982_concejo.dta.csv,Concejo
1984,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1984_concejo.dta.csv,Concejo
1986,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1986_concejo.dta.csv,Concejo
1990,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1990_concejo.dta.csv,Concejo
1992,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1992_concejo.dta.csv,Concejo
1994,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1994_concejo.dta.csv,Concejo
1997,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/1997_concejo.dta.csv,Concejo
2000,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/2000_concejo.dta.csv,Concejo
2003,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/2003_concejo.dta.csv,Concejo
2007,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/2007_concejo.dta.csv,Concejo
2011,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/2011_concejo.dta.csv,Concejo
2015,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/2015_concejo.dta.csv,Concejo
2019,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Concejo/2019_concejo.dta.csv,Concejo
1991,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/1991_gobernacion.dta.csv,Gobernacion
1994,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/1994_gobernacion.dta.csv,Gobernacion
1997,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/1997_gobernacion.dta.csv,Gobernacion
2000,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/2000_gobernacion.dta.csv,Gobernacion
2003,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/2003_gobernacion.dta.csv,Gobernacion
2007,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/2007_gobernacion.dta.csv,Gobernacion
2011,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/2011_gobernacion.dta.csv,Gobernacion
2015,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/2015_gobernacion.dta.csv,Gobernacion
2019,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Gobernacion/2019_gobernacion.dta.csv,Gobernacion
1958,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1958_presidencia.dta.csv,Presidencia
1962,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1962_presidencia.dta.csv,Presidencia
1966,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1966_presidencia.dta.csv,Presidencia
1970,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1970_presidencia.dta.csv,Presidencia
1974,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1974_presidencia.dta.csv,Presidencia
1978,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1978_presidencia.dta.csv,Presidencia
1982,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1982_presidencia.dta.csv,Presidencia
1986,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1986_presidencia.dta.csv,Presidencia
1990,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1990_presidencia.dta.csv,Presidencia
1994,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1994_presidencia_primera_vuelta.dta.csv,Presidencia
1994,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1994_presidencia_segunda_vuelta.dta.csv,Presidencia
1998,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1998_presidencia_primera_vuelta.dta.csv,Presidencia
1998,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/1998_presidencia_segunda_vuelta.dta.csv,Presidencia
2002,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/2002_presidencia.dta.csv,Presidencia
2006,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/2006_presidencia.dta.csv,Presidencia
2010,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/2010_presidencia_primera_vuelta.dta.csv,Presidencia
2010,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/2010_presidencia_segunda_vuelta.dta.csv,Presidencia
2014,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/2014_presidencia_primera_vuelta.dta.csv,Presidencia
2014,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/2014_presidencia_segunda_vuelta.dta.csv,Presidencia
2018,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/2018_presidencia_primera_vuelta.dta.csv,Presidencia
2018,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Presidencia/2018_presidencia_segunda_vuelta.dta.csv,Presidencia
1958,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1958_senado.dta.csv,Senado
1962,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1962_senado.dta.csv,Senado
1966,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1966_senado.dta.csv,Senado
1970,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1970_senado.dta.csv,Senado
1974,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1974_senado.dta.csv,Senado
1978,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1978_senado.dta.csv,Senado
1982,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1982_senado.dta.csv,Senado
1986,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1986_senado.dta.csv,Senado
1990,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1990_senado.dta.csv,Senado
1991,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1991_senado.dta.csv,Senado
1994,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1994_senado.dta.csv,Senado
1998,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/1998_senado.dta.csv,Senado
2002,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/2002_senado.dta.csv,Senado
2006,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/2006_senado.dta.csv,Senado
2010,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/2010_senado.dta.csv,Senado
2014,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/2014_senado.dta.csv,Senado
2018,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Senado/2018_senado.dta.csv,Senado
